sampleName	bamPath	baiPath	dnaBamPath	dnaBaiPath
BICR10-siNT-R1	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow/BICR10-siNT-R1_L1_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow/BICR10-siNT-R1_L1_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/BICR10.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/BICR10.sorted.bam.bai
BICR10-siNT-R2	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow/BICR10-siNT-R2_L1_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow/BICR10-siNT-R2_L1_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/BICR10.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/BICR10.sorted.bam.bai
BICR10-sip150-R1	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow/BICR10-sip150-R1_L1_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow/BICR10-sip150-R1_L1_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/BICR10.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/BICR10.sorted.bam.bai
BICR10-sip150-R2	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow/BICR10-sip150-R2_L1_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow/BICR10-sip150-R2_L1_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/BICR10.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/BICR10.sorted.bam.bai
ORL-207-siNT-R1	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow/ORL-207-siNT-R1_L1_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow/ORL-207-siNT-R1_L1_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam.bai
ORL-207-siNT-R2	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow/ORL-207-siNT-R2_L1_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow/ORL-207-siNT-R2_L1_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam.bai
ORL-207-sip150-R1	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow/ORL-207-sip150-R1_L1_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow/ORL-207-sip150-R1_L1_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam.bai
ORL-207-sip150-R2	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow/ORL-207-sip150-R2_L1_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow/ORL-207-sip150-R2_L1_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/ORL-207.sorted.bam.bai
SCC9-siNT-R1	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow/SCC9-siNT-R1_L1_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow/SCC9-siNT-R1_L1_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/SCC-9.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/SCC-9.sorted.bam.bai
SCC9-siNT-R2	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow/SCC9-siNT-R2_L1_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow/SCC9-siNT-R2_L1_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/SCC-9.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/SCC-9.sorted.bam.bai
SCC9-sip150-R1	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow/SCC9-sip150-R1_L1_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow/SCC9-sip150-R1_L1_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/SCC-9.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/SCC-9.sorted.bam.bai
SCC9-sip150-R2	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow/SCC9-sip150-R2_L1_Aligned.sortedByCoord.out.bam	s3://crmy-gb-main/reddisco/RNAseq-STAR-out-for-Nextflow/SCC9-sip150-R2_L1_Aligned.sortedByCoord.out.bam.bai	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/SCC-9.sorted.bam	s3://crmy-gb-main/reddisco/sWGS-out-for-Nextflow/SCC-9.sorted.bam.bai
